                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.80666,                0.52171,                0.99016,                 0.6682,                0.85133,                0.75388,                 0.5829,                0.86418,                0.66729,                 1.0357,              0.0075448,              0.0075448,              0.0075448
                    126,                 0.8102,                0.54395,                0.99534,                0.72005,                0.70348,                0.68809,                0.54077,                 0.8709,                0.78873,                 1.0404,               0.007525,               0.007525,               0.007525
                    127,                0.77186,                0.52566,                0.98188,                0.73506,                0.84189,                0.77662,                0.61167,                0.84785,                0.66037,                 1.0342,              0.0075052,              0.0075052,              0.0075052
                    128,                0.80277,                0.52851,                0.99375,                 0.7917,                0.81177,                0.81623,                0.63328,                 0.9012,                0.67237,                 1.0534,              0.0074854,              0.0074854,              0.0074854
                    129,                0.78851,                0.52464,                0.97147,                0.75915,                0.87151,                0.85319,                0.66616,                0.85483,                0.55978,                 1.0311,              0.0074656,              0.0074656,              0.0074656
                    130,                0.80174,                0.51152,                0.98712,                0.73791,                0.81656,                0.81504,                0.63324,                0.83645,                0.61779,                 1.0278,              0.0074458,              0.0074458,              0.0074458
                    131,                0.78419,                0.51541,                0.98101,                0.80098,                0.78093,                0.81948,                0.65817,                0.85299,                0.61381,                 1.0359,               0.007426,               0.007426,               0.007426
                    132,                 0.7856,                 0.5307,                0.98347,                0.78092,                0.80036,                0.79758,                0.63301,                0.83611,                0.62222,                 1.0218,              0.0074062,              0.0074062,              0.0074062
                    133,                0.79373,                0.50448,                0.97469,                0.76534,                0.82479,                0.79724,                0.60331,                0.84936,                0.64235,                 1.0287,              0.0073864,              0.0073864,              0.0073864
                    134,                 0.8066,                0.52721,                 0.9924,                0.79824,                0.86181,                0.78336,                0.60374,                0.85707,                0.67762,                  1.031,              0.0073666,              0.0073666,              0.0073666
                    135,                0.76849,                0.51855,                 0.9909,                0.75761,                0.84985,                 0.7838,                0.60335,                0.87632,                0.70701,                 1.0352,              0.0073468,              0.0073468,              0.0073468
                    136,                0.76853,                0.50483,                0.96901,                 0.7789,                0.80738,                0.81186,                0.63568,                0.87351,                0.64021,                 1.0339,               0.007327,               0.007327,               0.007327
                    137,                0.77896,                0.53404,                0.96966,                0.77827,                0.85905,                 0.8303,                0.66542,                0.79654,                0.58733,                 1.0102,              0.0073072,              0.0073072,              0.0073072
                    138,                0.79254,                 0.5182,                0.96985,                0.79355,                0.76701,                0.80099,                0.63685,                0.81189,                0.61714,                 1.0131,              0.0072874,              0.0072874,              0.0072874
